IncidentID,IncidentDate,InciddentYear,State,CityCounty,Address,NumKilled,NumInjured
2572582,4/15/2023,2023,New Jersey,Paterson,14th Ave and E 22nd St,0,4
2572471,4/14/2023,2023,Missouri,Kansas City,3500 Prospect Ave,1,4
2571648,4/13/2023,2023,Michigan,Detroit,13500 block of Penrod St,0,5
2571130,4/13/2023,2023,New York,Bronx,1859 Westchester Ave,0,4
2570622,4/12/2023,2023,Ohio,Toledo,900 block of Dorr St,0,6
2570985,4/12/2023,2023,Indiana,Fort Wayne,3530 Harvester Ave,1,3
2570789,4/12/2023,2023,North Carolina,Goldsboro,112 N. Leslie St,1,5
2570823,4/12/2023,2023,New Jersey,Trenton,Spring St and Calhoun St,0,4
2569434,4/11/2023,2023,District of Columbia,Washington,4001 Benning Rd NE,1,3
2568184,4/10/2023,2023,Kentucky,Louisville,333 E Main St,6,5
2568150,4/9/2023,2023,Florida,Orlando,5344 Lescot Ln,3,2
2567299,4/8/2023,2023,Texas,Houston,250 Uvalde Road,0,4
2566705,4/7/2023,2023,South Carolina,Isle Of Palms,1140 Ocean Blvd,0,5
2566449,4/7/2023,2023,Louisiana,New Orleans,I-10 and Read Blvd,0,4
2566162,4/6/2023,2023,Pennsylvania,Philadelphia,3700 block of N Carlisle St,0,4
2565404,4/5/2023,2023,Virginia,Virginia Beach,700 block of Lake Edward Dr,0,4
2564607,4/4/2023,2023,Pennsylvania,Philadelphia,3400 block of Rorer St,1,4
2564328,4/3/2023,2023,Tennessee,Jackson,1600 block of Hollywood Dr,0,4
2564074,4/3/2023,2023,Georgia,Atlanta,2479 Abner Terrace NW,1,3
2564105,4/3/2023,2023,Colorado,Pueblo,1000 block of E 11th St,1,3
2562882,4/2/2023,2023,District of Columbia,Washington,2900 block of Martin Luther King Jr Ave SE,0,4
2562631,4/2/2023,2023,California,Moreno Valley,24700 block of Sunnymead Blvd,0,4
2563072,4/2/2023,2023,North Carolina,Fayetteville,5044 Yadkin Rd,1,4
2562492,4/1/2023,2023,Maryland,Baltimore,3205 Woodring Ave,3,1
2559838,3/29/2023,2023,Tennessee,Memphis,6980 Winchester Rd,2,5
2555459,3/27/2023,2023,Tennessee,Nashville,33 Burton Hills Blvd,7,0
2555326,3/27/2023,2023,Wisconsin,Milwaukee,7225 N 76th St,0,5
2554779,3/26/2023,2023,Pennsylvania,Philadelphia,1900 block of N 19th St,2,2
2555309,3/26/2023,2023,Minnesota,Minneapolis,5601 Brooklyn Blvd,0,6
2555301,3/26/2023,2023,Arkansas,Little Rock,3002 Washington St,2,5
2555123,3/26/2023,2023,Louisiana,Minden,801 Harris St,0,4
2553878,3/25/2023,2023,Illinois,Macomb,533 N Johnson St,1,10
2553829,3/25/2023,2023,Louisiana,Shreveport,200 block of Texas St,1,5
2554912,3/25/2023,2023,New York,Hempstead,Spencer Pl and Jerusalem Ave,0,4
2555579,3/25/2023,2023,North Carolina,Williamston,W Pine St,0,5
2553843,3/24/2023,2023,Louisiana,Shreveport,1800 block of Logan St,0,8
2552552,3/23/2023,2023,Maryland,Baltimore,2801 Edmondson Ave,1,5
2551596,3/21/2023,2023,New Jersey,Trenton,45 N Stockton St,0,4
2551678,3/21/2023,2023,South Carolina,Sumter,190 Whitetail Cir,5,0
2550749,3/20/2023,2023,Wisconsin,Milwaukee,N 14th St and W Concordia Ave,1,5
2548773,3/18/2023,2023,Ohio,Columbus,1570 S. High St,2,4
2549452,3/18/2023,2023,Illinois,Chicago,2425 E 72nd St,0,4
2549324,3/18/2023,2023,Texas,Dallas,Gannon Ln and S Westmoreland Rd,0,4
2546495,3/15/2023,2023,Oregon,Portland,7900 NE 82nd Ave,2,2
2545871,3/14/2023,2023,Alabama,Birmingham,8400 block of 8th Ave S,4,0
2545631,3/13/2023,2023,Texas,Lubbock,9103 Ave P,1,3
2544817,3/12/2023,2023,Texas,Dallas,3626 Villaverde Ave,4,0
2543748,3/11/2023,2023,New York,Brooklyn,E 45th St and Snyder Ave,1,3
